 Theta Psi Nu P Q
  0.34431855E+01  0.27452890E+00 -0.51189883E-09  0.30000000E+01  0.19000000E+02
  0.41343359E+01  0.37869791E+00  0.99818434E-09  0.30000000E+01  0.19000000E+02
  0.31415927E+00  0.23062401E+00 -0.33917914E-09  0.30000000E+01  0.19000000E+02
  0.10304424E+01  0.35966860E+00  0.58747330E-10  0.30000000E+01  0.19000000E+02
  0.34557519E+01  0.27503279E+00 -0.67189688E-09  0.30000000E+01  0.19000000E+02
  0.23122122E+01  0.33364133E+00 -0.89043339E-09  0.30000000E+01  0.19000000E+02
  0.41469023E+01  0.38310293E+00  0.92141519E-09  0.30000000E+01  0.19000000E+02
  0.34683183E+01  0.27556414E+00 -0.80725638E-09  0.30000000E+01  0.19000000E+02
  0.32672564E+00  0.23136337E+00 -0.18718240E-09  0.30000000E+01  0.19000000E+02
  0.10430088E+01  0.36470685E+00 -0.15480659E-09  0.30000000E+01  0.19000000E+02
  0.54035394E+01  0.31086189E+00 -0.45343457E-09  0.30000000E+01  0.19000000E+02
  0.23247786E+01  0.33089183E+00 -0.77178754E-09  0.30000000E+01  0.19000000E+02
  0.34808847E+01  0.27612381E+00 -0.91310654E-09  0.30000000E+01  0.19000000E+02
  0.41594687E+01  0.38765871E+00  0.79914030E-09  0.30000000E+01  0.19000000E+02
  0.33929201E+00  0.23213593E+00 -0.30679894E-10  0.30000000E+01  0.19000000E+02
  0.10555751E+01  0.36991593E+00 -0.36430300E-09  0.30000000E+01  0.19000000E+02
  0.23373449E+01  0.32823506E+00 -0.62356042E-09  0.30000000E+01  0.19000000E+02
  0.34934510E+01  0.27671271E+00 -0.98583912E-09  0.30000000E+01  0.19000000E+02
  0.41720350E+01  0.39237013E+00  0.63609841E-09  0.30000000E+01  0.19000000E+02
  0.54161057E+01  0.30754121E+00 -0.61354086E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+00  0.23294222E+00  0.12684562E-09  0.30000000E+01  0.19000000E+02
  0.10681415E+01  0.37530223E+00 -0.56010090E-09  0.30000000E+01  0.19000000E+02
  0.23499113E+01  0.32566824E+00 -0.45185221E-09  0.30000000E+01  0.19000000E+02
  0.35060174E+01  0.27733178E+00 -0.10228288E-08  0.30000000E+01  0.19000000E+02
  0.41846014E+01  0.39724220E+00  0.43880252E-09  0.30000000E+01  0.19000000E+02
  0.36442475E+00  0.23378282E+00  0.28166326E-09  0.30000000E+01  0.19000000E+02
  0.10807079E+01  0.38087236E+00 -0.73252800E-09  0.30000000E+01  0.19000000E+02
  0.23624777E+01  0.32318868E+00 -0.26351158E-09  0.30000000E+01  0.19000000E+02
  0.54286721E+01  0.30432418E+00 -0.75215819E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+01  0.27798199E+00 -0.10227919E-08  0.30000000E+01  0.19000000E+02
  0.41971678E+01  0.40228007E+00  0.21656220E-09  0.30000000E+01  0.19000000E+02
  0.37699112E+00  0.23465834E+00  0.43009520E-09  0.30000000E+01  0.19000000E+02
  0.10932742E+01  0.38663317E+00 -0.87230807E-09  0.30000000E+01  0.19000000E+02
  0.23750440E+01  0.32079378E+00 -0.65863764E-10  0.30000000E+01  0.19000000E+02
  0.35311501E+01  0.27866433E+00 -0.98588142E-09  0.30000000E+01  0.19000000E+02
  0.42097342E+01  0.40748902E+00 -0.19820984E-10  0.30000000E+01  0.19000000E+02
  0.38955749E+00  0.23556941E+00  0.56858302E-09  0.30000000E+01  0.19000000E+02
  0.54412385E+01  0.30120734E+00 -0.86532753E-09  0.30000000E+01  0.19000000E+02
  0.11058406E+01  0.39259171E+00 -0.97106506E-09  0.30000000E+01  0.19000000E+02
  0.35437165E+01  0.27937984E+00 -0.91352577E-09  0.30000000E+01  0.19000000E+02
  0.42223005E+01  0.41287440E+00 -0.25806484E-09  0.30000000E+01  0.19000000E+02
  0.11184070E+01  0.39875521E+00 -0.10218439E-08  0.30000000E+01  0.19000000E+02
  0.54538048E+01  0.29818736E+00 -0.94998288E-09  0.30000000E+01  0.19000000E+02
  0.42348669E+01  0.41844170E+00 -0.48498844E-09  0.30000000E+01  0.19000000E+02
  0.11309734E+01  0.40513110E+00 -0.10196264E-08  0.30000000E+01  0.19000000E+02
  0.38578758E+01  0.31175461E+00 -0.49680115E-09  0.30000000E+01  0.19000000E+02
  0.54663712E+01  0.29526107E+00 -0.10040960E-08  0.30000000E+01  0.19000000E+02
  0.42474333E+01  0.42419646E+00 -0.68715221E-09  0.30000000E+01  0.19000000E+02
  0.11435397E+01  0.41172694E+00 -0.96140526E-09  0.30000000E+01  0.19000000E+02
  0.11561061E+01  0.41855040E+00 -0.84857391E-09  0.30000000E+01  0.19000000E+02
  0.38704421E+01  0.31381030E+00 -0.65960529E-09  0.30000000E+01  0.19000000E+02
  0.42599996E+01  0.43014427E+00 -0.85160635E-09  0.30000000E+01  0.19000000E+02
  0.61449552E+01  0.91204870E+00 -0.37376448E-04  0.30000000E+01  0.19000000E+02
  0.54789376E+01  0.29242539E+00 -0.10266173E-08  0.30000000E+01  0.19000000E+02
